id,nombre_actual,nombre_comercial,categoria_nueva,subcategoria,precio_costo,precio_publico,stock,activo,url
2127,Camiseta Elite 5044 Azul Marino,Camiseta Elite 5044 Azul Marino,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/elite-productos/elite-fit/camisetas-elite/camiseta-elite-5044-azul-marino
2128,Camiseta Elite 5044 Blanco,Camiseta Elite 5044 Blanco,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/elite-productos/elite-fit/camisetas-elite/camiseta-elite-5044-blanco
2129,Camiseta Elite 5044 Negro,Camiseta Elite 5044 Negro,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/elite-productos/elite-fit/camisetas-elite/camiseta-elite-5044-negro
2130,Camiseta Elite 5241 Azul Marino,Camiseta Elite 5241 Azul Marino,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/elite-productos/elite-fit/camisetas-elite/camiseta-elite-5241-azul-marino
2131,Camiseta Elite 5241 Negro,Camiseta Elite 5241 Negro,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/elite-productos/elite-fit/camisetas-elite/camiseta-elite-5241-negro
2132,Camiseta Elite 5270 Azul Marino,Camiseta Elite 5270 Azul Marino,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/elite-productos/elite-fit/camisetas-elite/camiseta-elite-5270-azul-marino
2133,Camiseta Elite 5270 Blanco,Camiseta Elite 5270 Blanco,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/elite-productos/elite-fit/camisetas-elite/camiseta-elite-5270-blanco
2135,Camiseta Elite 5566 Azul Marino,Camiseta Elite 5566 Azul Marino,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/elite-productos/elite-fit/camisetas-elite/camiseta-elite-5566-azul-marino
2136,Camiseta Elite 5566 Negro,Camiseta Elite 5566 Negro,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/elite-productos/elite-fit/camisetas-elite/camiseta-elite-5566-negro
2137,Camiseta Elite 5566 Violeta,Camiseta Elite 5566 Violeta,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/elite-productos/elite-fit/camisetas-elite/camiseta-elite-5566-violeta
2138,Camiseta Elite 5854 Azul Marino,Camiseta Elite 5854 Azul Marino,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/elite-productos/elite-fit/camisetas-elite/camiseta-elite-5854-azul-marino
2139,Camiseta Elite 5854 Negro,Camiseta Elite 5854 Negro,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/elite-productos/elite-fit/camisetas-elite/camiseta-elite-5854-negro
2141,Camiseta Elite 5985 Negro,Camiseta Elite 5985 Negro,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/elite-productos/elite-fit/camisetas-elite/camiseta-elite-5985-negro
